rd_inv,milepost,caseno,accyr,rte_nbr,county,func_cls,month,daymth,acctype,severity,loc_type,rd_char1,rdsurf,light,weather
002,93.38,2009000200,2009,002,04,02,01,04,12,7,4,1,3,6,04
002,136.76,2009000201,2009,002,09,02,01,01,34,6,4,6,3,1,01
097,209.43,2009000202,2009,097,09,02,01,02,33,1,4,2,3,1,01
002,127.97,2009000203,2009,002,09,02,01,01,33,1,4,5,3,1,04
531,8.65,2009000204,2009,531,31,16,01,01,50,1,4,6,2,4,03
005,164.61,2009000205,2009,005,17,11,01,02,04,1,4,1,1,4,01
005,169.97,2009000206,2009,005,17,11,01,02,03,7,4,1,1,4,02
090,107.09,2009000207,2009,090,19,11,01,01,50,1,4,5,4,4,03
097,145.78,2009000208,2009,097,19,02,01,02,34,1,4,6,3,1,01
090,56.93,2009000209,2009,090,19,01,01,10,12,1,4,5,3,6,04
082,1.1,2009000210,2009,082,19,01,01,02,13,1,4,1,1,6,01
090,90.84,2009000211,2009,090,19,01,01,05,06,6,4,2,3,1,01
090,79.11,2009000212,2009,090,19,01,01,01,99,6,4,1,3,6,04
090,93.39,2009000213,2009,090,19,01,01,02,71,7,4,6,3,1,02
082P103441,0.35,2009000215,2009,082,39,11,01,02,01,1,1,2,4,3,01
005,30.58,2009000216,2009,005,08,01,01,03,33,1,4,5,2,6,02
090,279.9,2009000217,2009,090,32,11,01,02,34,7,4,5,4,1,01
542,52.55,2009000218,2009,542,37,07,01,02,02,1,4,6,3,1,04
005,247.14,2009000219,2009,005,37,01,01,02,07,1,4,2,3,2,04
702,5.79,2009000220,2009,702,27,06,01,02,50,7,8,1,4,1,01
009,11.35,2009000221,2009,009,31,12,01,02,62,1,4,3,4,2,01
395,92.6,2009000222,2009,395,01,02,01,02,34,1,4,2,3,6,02
500,1.13,2009000223,2009,500,06,12,01,02,03,1,1,1,2,4,02
014,11.51,2009000224,2009,014,06,12,01,02,60,1,4,5,3,6,03
205,9.17,2009000225,2009,205,06,11,01,05,05,1,4,2,2,1,02
005S512677,0,2009000226,2009,005,27,11,01,02,06,1,1,1,2,1,01
008,15.08,2009000227,2009,008,34,02,01,02,99,1,4,6,4,6,01
005LX04266,0.11,2009000228,2009,005,08,11,01,05,07,1,1,1,2,1,03
432,10,2009000229,2009,432,08,12,01,03,33,1,2,5,4,6,01
411,13.29,2009000230,2009,411,08,06,01,03,33,1,1,6,3,4,03
020,45.42,2009000231,2009,020,29,02,01,02,50,1,4,5,4,1,02
005,164.99,2009000232,2009,005,17,11,01,02,06,1,4,1,1,1,01
005,153.06,2009000233,2009,005,17,11,01,02,06,1,4,2,1,1,01
195,31.93,2009000234,2009,195,38,02,01,03,50,1,4,1,4,2,01
195,4.53,2009000235,2009,195,38,02,01,02,16,7,4,2,3,1,08
195,11.31,2009000236,2009,195,38,02,01,02,03,1,4,1,3,1,01
195,30.75,2009000237,2009,195,38,02,01,03,50,1,4,1,4,1,01
195,19.28,2009000238,2009,195,38,02,01,03,27,1,4,1,3,1,01
005,29.82,2009000239,2009,005,08,01,01,02,02,1,4,1,3,2,02
005,41.25,2009000240,2009,005,08,11,01,03,13,1,4,1,4,6,01
004,56.48,2009000241,2009,004,08,14,01,02,50,7,5,1,3,1,01
005,51.37,2009000242,2009,005,08,01,01,02,50,1,4,1,4,1,04
005,55.12,2009000243,2009,005,08,01,01,04,33,1,4,7,3,6,06
530,22.2,2009000244,2009,530,31,06,01,03,33,1,4,1,4,6,04
405R500260,0.1,2009000245,2009,405,17,11,01,02,06,1,4,5,1,3,02
405LX00096,0,2009000246,2009,405,17,11,01,08,04,1,1,1,1,1,02
405,3.92,2009000247,2009,405,17,11,01,02,54,1,5,4,2,1,01
005,146.46,2009000248,2009,005,17,11,01,03,33,1,4,1,4,1,01
005,146.31,2009000249,2009,005,17,11,01,03,60,1,4,1,4,6,01
005,98.97,2009000250,2009,005,34,11,01,06,33,7,4,1,2,6,03
