rd_inv,milepost,caseno,rte_nbr,county,func_cls,accyr,month,daymth,acctype,severity,loc_type,rd_char1,rdsurf,light,weather
005,114.12,2006029066,005,34,11,2006,08,19,33,1,4,1,1,1,01
121,3.93,2006029067,121,34,07,2006,07,25,32,1,4,1,1,2,01
005LX10839,0,2006029068,005,34,11,2006,08,18,16,1,5,1,1,1,01
005P210517,0.1,2006029069,005,34,11,2006,08,19,12,1,1,6,1,1,01
005,102.16,2006029070,005,34,11,2006,08,19,33,1,4,1,1,1,01
092,2.45,2006029071,092,31,16,2006,08,18,07,1,4,1,1,1,01
522,16.6,2006029072,522,31,12,2006,08,15,02,7,1,1,1,4,01
525,14.22,2006029073,525,15,02,2006,08,18,06,6,8,6,1,1,01
005,196.21,2006029074,005,31,11,2006,08,19,06,7,4,1,1,1,01
099,43.73,2006029075,099,31,14,2006,08,18,13,7,3,1,1,1,01
005,184.26,2006029076,005,31,11,2006,08,19,06,7,4,2,1,1,01
527,5.5,2006029077,527,31,14,2006,08,19,06,7,5,1,1,1,01
522Q501443,0.07,2006029078,522,31,12,2006,08,15,34,1,4,8,1,1,01
530,5.1,2006029079,530,31,06,2006,08,18,06,1,4,8,1,1,01
005,184.08,2006029080,005,31,11,2006,08,17,06,7,4,1,1,1,02
530,8.09,2006029081,530,31,06,2006,08,15,06,1,7,1,1,1,01
005,194.88,2006029082,005,31,11,2006,08,16,05,7,4,1,1,1,01
005,183.69,2006029083,005,31,11,2006,08,17,06,7,4,1,1,4,01
005,183.56,2006029084,005,31,11,2006,08,17,05,1,1,1,1,4,01
005Q118447,0.15,2006029085,005,31,11,2006,08,18,06,7,1,1,1,1,01
005LX20078,0.11,2006029086,005,31,11,2006,08,19,02,7,1,1,1,4,01
529,6.98,2006029087,529,31,12,2006,08,18,06,7,4,5,1,1,01
005,183.92,2006029088,005,31,11,2006,08,19,06,1,4,5,1,1,01
002,21.25,2006029089,002,31,02,2006,08,18,06,7,4,1,1,1,01
522,16.69,2006029090,522,31,12,2006,08,18,06,1,4,1,1,1,01
522,16.68,2006029091,522,31,12,2006,08,18,06,1,2,1,1,1,01
005,186.47,2006029092,005,31,11,2006,08,17,06,1,4,1,1,1,01
405,26.93,2006029093,405,31,11,2006,08,17,06,7,4,1,1,1,01
005,184.76,2006029094,005,31,11,2006,08,18,06,7,4,1,1,1,01
002LX00851,0.01,2006029095,002,31,12,2006,08,17,03,7,1,1,1,1,01
009,16.73,2006029096,009,31,12,2006,08,19,33,1,4,2,1,1,01
016,5.15,2006029097,016,27,12,2006,08,18,06,1,4,2,1,1,01
161,22.2,2006029098,161,27,14,2006,08,19,06,7,1,1,1,4,01
161,20.84,2006029099,161,27,14,2006,08,16,60,7,4,1,1,1,01
410,1.42,2006029100,410,27,12,2006,08,16,33,6,5,5,1,1,01
161,21.34,2006029101,161,27,14,2006,08,17,12,1,1,1,1,1,01
410,0.14,2006029102,410,27,12,2006,08,16,06,6,4,1,1,1,01
167,7.78,2006029103,167,27,12,2006,08,17,06,1,4,1,1,1,01
410,2.55,2006029104,410,27,12,2006,08,17,05,1,4,5,1,6,01
512,9.3,2006029105,512,27,12,2006,08,18,06,7,4,2,1,1,01
097,6.5,2006029106,097,20,02,2006,08,16,34,0,4,6,1,1,01
005,60.99,2006029107,005,21,01,2006,08,17,34,1,4,1,1,1,01
195LX06264,0,2006029108,195,38,02,2006,08,19,13,7,1,1,1,1,01
090,279.27,2006029109,090,32,11,2006,08,18,06,1,4,1,1,1,01
002,302.08,2006029110,002,32,02,2006,08,20,07,7,1,1,1,4,01
395,184.68,2006029111,395,32,02,2006,08,17,12,6,1,1,1,1,01
395,177.98,2006029112,395,32,02,2006,08,16,32,6,4,1,1,1,01
002,324.82,2006029113,002,26,02,2006,08,18,06,5,3,1,1,1,01
090,285.12,2006029114,090,32,11,2006,08,18,33,7,4,5,1,1,01
090,295.01,2006029115,090,32,11,2006,08,18,50,6,4,1,1,1,01
090,277.21,2006029116,090,32,11,2006,08,19,06,7,1,2,1,1,01
395,75.86,2006029117,395,01,02,2006,08,18,06,6,4,1,1,6,01
028,123.14,2006029118,028,22,06,2006,08,18,32,1,4,1,1,6,01
